pagamentoid,ano,mes,dia,periodo,datavencimento,datapagamento,contaid,conta,tipo,tipopagamento,valor,Pago
1,2007,1,1,2007-01,2007-01-01,2007-01-01,27,conta-27,Fornecedor,Dinheiro,219.21,Falta Pagar
2,2007,1,1,2007-01,2007-01-01,2007-01-01,28,conta-28,Fornecedor,Dinheiro,252.00,Falta Pagar
3,2007,1,1,2007-01,2007-01-01,2007-01-01,22,conta-22,Fornecedor,Dinheiro,142.75,Falta Pagar
4,2007,1,2,2007-01,2007-01-02,2007-01-02,22,conta-22,Fornecedor,Dinheiro,142.75,Falta Pagar
5,2007,4,3,2007-04,2007-04-03,2007-04-03,22,conta-22,Fornecedor,Dinheiro,202.14,Falta Pagar
6,2007,4,3,2007-04,2007-04-03,2007-04-03,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
7,2007,4,3,2007-04,2007-04-03,2007-04-03,22,conta-22,Fornecedor,Dinheiro,202.14,Falta Pagar
8,2007,4,3,2007-04,2007-04-03,2007-04-03,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
10,2007,4,4,2007-04,2007-04-04,2007-04-04,29,conta-29,Fornecedor,Dinheiro,324.00,Falta Pagar
11,2007,4,4,2007-04,2007-04-04,2007-04-04,31,conta-31,Fornecedor,Dinheiro,21.81,Falta Pagar
12,2007,4,5,2007-04,2007-04-05,2007-04-05,32,conta-32,Fornecedor,Dinheiro,175.81,Falta Pagar
13,2007,4,5,2007-04,2007-04-05,2007-04-05,22,conta-22,Fornecedor,Dinheiro,200.15,Falta Pagar
14,2007,4,5,2007-04,2007-04-05,2007-04-05,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
15,2007,4,5,2007-04,2007-04-05,2007-04-05,24,conta-24,Fornecedor,Dinheiro,94.05,Falta Pagar
17,2007,4,6,2007-04,2007-04-06,2007-04-06,33,conta-33,Fornecedor,Dinheiro,135.00,Falta Pagar
18,2007,4,6,2007-04,2007-04-06,2007-04-06,24,conta-24,Fornecedor,Dinheiro,96.71,Falta Pagar
20,2007,4,7,2007-04,2007-04-07,2007-04-07,35,conta-35,Fornecedor,Dinheiro,123.50,Falta Pagar
21,2007,4,8,2007-04,2007-04-08,2007-04-08,36,conta-36,Fornecedor,Dinheiro,58.50,Falta Pagar
22,2007,4,8,2007-04,2007-04-08,2007-04-08,24,conta-24,Fornecedor,Dinheiro,91.28,Falta Pagar
23,2007,4,10,2007-04,2007-04-10,2007-04-10,33,conta-33,Fornecedor,Dinheiro,112.00,Falta Pagar
26,2007,4,11,2007-04,2007-04-11,2007-04-11,24,conta-24,Fornecedor,Dinheiro,91.28,Falta Pagar
27,2007,4,12,2007-04,2007-04-12,2007-04-12,32,conta-32,Fornecedor,Dinheiro,100.00,Falta Pagar
28,2007,4,12,2007-04,2007-04-12,2007-04-12,35,conta-35,Fornecedor,Dinheiro,176.55,Falta Pagar
29,2007,4,12,2007-04,2007-04-12,2007-04-12,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
30,2007,4,12,2007-04,2007-04-12,2007-04-12,22,conta-22,Fornecedor,Dinheiro,200.14,Falta Pagar
31,2007,4,13,2007-04,2007-04-13,2007-04-13,38,conta-38,Fornecedor,Dinheiro,148.81,Falta Pagar
32,2007,4,13,2007-04,2007-04-13,2007-04-13,39,conta-39,Fornecedor,Dinheiro,100.00,Falta Pagar
33,2007,4,13,2007-04,2007-04-13,2007-04-13,27,conta-27,Fornecedor,Dinheiro,436.52,Falta Pagar
34,2007,4,13,2007-04,2007-04-13,2007-04-13,27,conta-27,Fornecedor,Dinheiro,374.35,Falta Pagar
35,2007,4,13,2007-04,2007-04-13,2007-04-13,24,conta-24,Fornecedor,Dinheiro,93.87,Falta Pagar
36,2007,4,13,2007-04,2007-04-13,2007-04-13,33,conta-33,Fornecedor,Dinheiro,108.00,Falta Pagar
37,2007,4,14,2007-04,2007-04-14,2007-04-14,40,conta-40,Fornecedor,Dinheiro,106.90,Falta Pagar
38,2007,4,14,2007-04,2007-04-14,2007-04-14,6,conta-6,Despesa,Dinheiro,130.61,Falta Pagar
39,2007,4,14,2007-04,2007-04-14,2007-04-14,7,conta-7,Despesa,Dinheiro,66.16,Falta Pagar
40,2007,4,14,2007-04,2007-04-14,2007-04-14,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
41,2007,4,14,2007-04,2007-04-14,2007-04-14,22,conta-22,Fornecedor,Dinheiro,200.15,Falta Pagar
43,2007,4,15,2007-04,2007-04-15,2007-04-15,42,conta-42,Fornecedor,Dinheiro,123.00,Falta Pagar
45,2007,4,15,2007-04,2007-04-15,2007-04-15,25,conta-25,Despesa,Dinheiro,64.00,Falta Pagar
47,2007,4,16,2007-04,2007-04-16,2007-04-16,33,conta-33,Fornecedor,Dinheiro,150.00,Falta Pagar
48,2007,4,16,2007-04,2007-04-16,2007-04-16,32,conta-32,Fornecedor,Dinheiro,149.30,Falta Pagar
49,2007,4,16,2007-04,2007-04-16,2007-04-16,42,conta-42,Fornecedor,Dinheiro,131.42,Falta Pagar
52,2007,4,18,2007-04,2007-04-18,2007-04-18,25,conta-25,Despesa,Dinheiro,64.00,Falta Pagar
54,2007,4,19,2007-04,2007-04-19,2007-04-19,32,conta-32,Fornecedor,Dinheiro,128.00,Falta Pagar
55,2007,4,19,2007-04,2007-04-19,2007-04-19,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
56,2007,4,19,2007-04,2007-04-19,2007-04-19,22,conta-22,Fornecedor,Dinheiro,200.15,Falta Pagar
57,2007,4,20,2007-04,2007-04-20,2007-04-20,32,conta-32,Fornecedor,Dinheiro,175.81,Falta Pagar
58,2007,4,20,2007-04,2007-04-20,2007-04-20,24,conta-24,Fornecedor,Dinheiro,93.87,Falta Pagar
59,2007,4,20,2007-04,2007-04-20,2007-04-20,46,conta-46,Imposto,Dinheiro,124.00,Falta Pagar
61,2007,4,21,2007-04,2007-04-21,2007-04-21,22,conta-22,Fornecedor,Dinheiro,11.86,Falta Pagar
62,2007,4,21,2007-04,2007-04-21,2007-04-21,23,conta-23,Fornecedor,Dinheiro,200.14,Falta Pagar
63,2007,4,21,2007-04,2007-04-21,2007-04-21,26,conta-26,Despesa,Dinheiro,94.51,Falta Pagar
64,2007,4,22,2007-04,2007-04-22,2007-04-22,25,conta-25,Despesa,Dinheiro,64.00,Falta Pagar
65,2007,4,22,2007-04,2007-04-22,2007-04-22,48,conta-48,Fornecedor,Dinheiro,26.96,Falta Pagar
66,2007,4,23,2007-04,2007-04-23,2007-04-23,49,conta-49,Fornecedor,Dinheiro,312.48,Falta Pagar
67,2007,4,23,2007-04,2007-04-23,2007-04-23,21,conta-21,Imposto,Dinheiro,51.03,Falta Pagar
68,2007,4,24,2007-04,2007-04-24,2007-04-24,22,conta-22,Fornecedor,Dinheiro,200.15,Falta Pagar
69,2007,4,24,2007-04,2007-04-24,2007-04-24,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
71,2007,4,25,2007-04,2007-04-25,2007-04-25,13,conta-13,Despesa,Dinheiro,65.80,Falta Pagar
73,2007,4,26,2007-04,2007-04-26,2007-04-26,25,conta-25,Despesa,Dinheiro,64.00,Falta Pagar
74,2007,4,26,2007-04,2007-04-26,2007-04-26,22,conta-22,Fornecedor,Dinheiro,200.14,Falta Pagar
75,2007,4,26,2007-04,2007-04-26,2007-04-26,23,conta-23,Fornecedor,Dinheiro,11.86,Falta Pagar
76,2007,4,27,2007-04,2007-04-27,2007-04-27,35,conta-35,Fornecedor,Dinheiro,176.55,Falta Pagar
77,2007,4,27,2007-04,2007-04-27,2007-04-27,32,conta-32,Fornecedor,Dinheiro,132.50,Falta Pagar
79,2007,4,28,2007-04,2007-04-28,2007-04-28,27,conta-27,Fornecedor,Dinheiro,436.26,Falta Pagar
80,2007,4,28,2007-04,2007-04-28,2007-04-28,27,conta-27,Fornecedor,Dinheiro,374.13,Falta Pagar
81,2007,4,28,2007-04,2007-04-28,2007-04-28,33,conta-33,Fornecedor,Dinheiro,108.00,Falta Pagar
84,2007,4,29,2007-04,2007-04-29,2007-04-29,35,conta-35,Fornecedor,Dinheiro,167.65,Falta Pagar
85,2007,4,29,2007-04,2007-04-29,2007-04-29,25,conta-25,Despesa,Dinheiro,64.00,Falta Pagar
